n_features,dropped,AUC
54,p_true_mpg_ge20,0.9239822670236465
53,ckd,0.9243748979916103
52,female,0.9246637641339042
51,rel_eoa,0.925761131209541
50,anticoag_type,0.9246521446351964
49,ref_dvi,0.9254114653647063
48,mpg_now,0.9253417483724595
47,dvi_now,0.926052699560837
46,label_size_mm,0.9267074448019769
45,ref_ar,0.9248272477785139
44,consecutive_worsening,0.924784012434485
43,implant_year,0.9259102931464415
42,diabetes,0.9270952117937371
41,af,0.9263758837574539
40,eoa_missing_now,0.9263758837574539
39,transient_spike,0.9263307568671237
38,unconfirmed_flag,0.9263307568671237
37,dvi_missing_now,0.9263307568671237
36,valve_class,0.9263307568671237
35,stage_now_unevaluable,0.9263307568671237
34,ppm_class_ref,0.9254873974376573
33,dialysis,0.9275880947156682
32,expected_eoa,0.9274783850301944
31,time_since_last,0.9271965446313051
30,any_symptom_before,0.9272281604766264
29,ref_mpg_flow_corrected,0.9274878427617007
28,reference_from_table,0.9261099863916755
27,n_echoes,0.9265820623042926
26,slope_last2,0.9263621024915448
25,eoa_now,0.9257470797227318
24,ewma_log_mpg,0.9266412406814322
23,svi_now,0.9260524293399369
22,symptom_now,0.9267074448019768
21,lvef_now,0.925590892042427
20,ref_eoai,0.9263485914465357
19,bsa,0.9259135357972436
18,is_new_model,0.9260880984987607
17,eoa_residual,0.9270311694403942
16,max_mpg_sofar,0.9269484818449386
15,ref_mpg,0.9267949963736355
14,ref_eoa,0.9261570048283071
13,prior_positive_count,0.925063961287073
12,slope_since_ref,0.9264512753886046
11,ar_now,0.9252933788313269
10,rel_dvi,0.9240990024525249
9,vmax_now,0.9243022085694613
8,bmi,0.9239571364799298
