feature,HR_per_SD,CI_low,CI_high,p
approach,0.32672413428050334,0.28944354534636346,0.368806496595401,3.398642107039908e-73
age_at_implant,0.7516993891674568,0.711096102243481,0.794621106615562,7.182738315153763e-24
smoking,1.2570420783954073,1.1994289970922645,1.3174225324611641,1.2147324513113493e-21
is_new_model,0.7908066461967892,0.748534142816169,0.8354664348592024,5.597690506619369e-17
diabetes,1.1545475734833992,1.0973459544811284,1.214730955167821,2.9729080626862634e-08
bmi,1.2319141226175065,1.1358769016399455,1.3360711916171346,4.739831482630615e-07
valve_model,1.4684721833742262,1.2413544379118193,1.7371433069279842,7.394857432105186e-06
ref_mpg_flow_corrected,1.2547930295764393,1.135892235853915,1.386139897232393,7.875031592493419e-06
reference_from_table,1.114335817161481,1.055562254370088,1.1763818839372602,9.006833272788317e-05
ref_mpg,0.8820954521623111,0.7963083750947487,0.9771244546220561,0.016249309188708292
ref_dvi,0.9110083604587761,0.8418367665534026,0.985863608955525,0.020704057700756298
valve_class,1.2063074460858694,1.0139970242086949,1.4350906558308762,0.03427356562469601
bsa,1.1102444453920455,0.9886825269578001,1.2467528199540066,0.07712976318350588
expected_eoa,0.8808439373325324,0.7506736730812639,1.0335863235361993,0.11992984840274747
ckd,1.0419202153720968,0.9887389862568485,1.09796189923781,0.12446726855222273
eoa_residual,1.0982120548027592,0.9575093118785184,1.2595905881561973,0.18048783277606345
female,1.044643088550407,0.9763489311567914,1.1177143208045213,0.20547572834337696
implant_year,0.9586297441290965,0.8968766877697912,1.0246347116170076,0.2136347725876756
anticoag_type,1.0431369865453382,0.9639430552586606,1.128837192988442,0.2944708120136661
ppm_class_ref,1.0416708832870567,0.9604744444268395,1.1297314940384013,0.3241344311236076
dialysis,1.027057112942984,0.9739704625462039,1.0830372724950443,0.32415732251651175
ref_ar,1.024493987338786,0.9708152783465849,1.081140721107005,0.37816440125345707
af,0.977028989189719,0.9116157634477656,1.0471359579246464,0.5110055165432134
ref_eoai,0.9425911674307804,0.7901877232789369,1.1243886518911255,0.5111505322897403
label_size_mm,1.0379485688989272,0.9127452462448931,1.1803263135158275,0.5700989445494012
ref_eoa,0.970599227187092,0.8017861936649686,1.174955202845295,0.759522526502785
