model,subset,tau,n_eligible,n_cases,AUC,C_trunc,Brier,calib_slope,calib_intercept,AUC_lo,AUC_hi,C_lo,C_hi
dth_full,all,3.0,5446,660,0.9528796109865897,0.945048066836538,0.04397204197730622,1.0081330570592433,-0.01671049622268241,0.9413943763005733,0.9636177620801373,0.9355096079217051,0.9544326703458645
dth_full,all,5.0,4827,956,0.9251055753057009,0.9193737921650137,0.07779303602298604,0.9607117632378406,0.09308499156951082,0.9110423227430757,0.9390449817558397,0.9082669775452231,0.9309556118206855
dth_full,currently_negative,3.0,4831,205,0.8891757088777114,0.8793461969510795,0.031550824761512025,1.1398233942211131,0.29058316929066935,0.85745824565554,0.9186620616169886,0.8471997532949576,0.9088390828241234
dth_full,currently_negative,5.0,4229,463,0.8752197965426707,0.8553563628154875,0.07094084087945457,1.0373124657960733,0.21907095029816964,0.8508311277435903,0.8987282028765582,0.831901690520806,0.879482975832894
dth_registry,all,3.0,5446,660,0.9499151565804301,0.9393622834134084,0.046352674450962354,1.034908353037405,0.09505238778185814,0.9376183106130381,0.9608487206322581,0.9289009523744507,0.9490299387879746
dth_registry,all,5.0,4827,956,0.9231021575517554,0.9146112366303843,0.07886974736608987,0.9961209641428039,0.1738156753187157,0.9080028011597493,0.9367052994747594,0.9017383356432741,0.9261719827096553
dth_registry,currently_negative,3.0,4831,205,0.8842681345101389,0.8751817244809319,0.032073598676458745,1.170737712388629,0.3355476307667165,0.8512062356267405,0.9149687105453682,0.8421091273274447,0.9056845366335043
dth_registry,currently_negative,5.0,4229,463,0.8724589340340824,0.8537767627580263,0.07121664363067688,1.0527933854846925,0.231415660031812,0.8484520873392704,0.8959782722563153,0.8304465154981361,0.8786756932599039
dth_nosymptom,all,3.0,5446,660,0.9522040294292697,0.9444888903204427,0.044139132537465035,1.0197821649410574,0.010098443773390347,0.940024521704368,0.9630508397198164,0.9343977774980476,0.9543975327437503
dth_nosymptom,all,5.0,4827,956,0.9240149637525683,0.9188672578726421,0.07811164119303862,0.9675843198909061,0.10095312115409949,0.9092359791182008,0.9377911027523738,0.9070504203486439,0.9303718391357458
dth_nosymptom,currently_negative,3.0,4831,205,0.887512785633693,0.8777911304950557,0.03137602296314734,1.173331985099165,0.368082532699539,0.8521501039196635,0.9182731835707217,0.8421694176377195,0.9087816893069086
dth_nosymptom,currently_negative,5.0,4229,463,0.8736621516375345,0.8547958217409022,0.07085219293953848,1.048304614295581,0.2308945471499483,0.8498357567292975,0.8979845836773663,0.8307312300162795,0.878745499150778
dth_time_only,all,3.0,5446,660,0.7588624966759108,0.7358545316947459,0.09277801292217457,1.242834293669182,0.7213775999818441,0.7264004232392901,0.7880345785099809,0.7058983022520368,0.7634194118685514
dth_time_only,all,5.0,4827,956,0.7401486917525338,0.7176659443736958,0.13729482788019004,1.2577626492461607,0.7508083776314304,0.7097744808919513,0.7662369161261517,0.6891991744970495,0.7418499809800865
dth_time_only,currently_negative,3.0,4831,205,0.6465497242521063,0.6399711716334274,0.04304220929376314,0.8401737541339709,-1.1431077478031282,0.5984769250322628,0.6938905200299493,0.5907931132426836,0.6866741848128021
dth_time_only,currently_negative,5.0,4229,463,0.6505857226589159,0.6382710005013207,0.09423984620325163,0.8667463152843996,-0.48784784103717926,0.6144896482970197,0.6857206387382085,0.6001678212955367,0.6730040556725716
dth_implant,implant_time,5.0,1428,82,0.8648117276120756,0.8441737873570548,0.04581478145134078,0.9424086328597737,-0.09011546949068536,0.8290803981653219,0.8992380975475471,0.8082759092997315,0.8789921808408776
dth_implant,implant_time,8.0,1221,164,0.849724254101576,0.8173643017839602,0.09081272335480695,0.953688651384174,0.20524793674828642,0.8205446899562088,0.8791464323823417,0.7876846312624503,0.849437401139869
dth_implant,implant_time,10.0,1103,221,0.8231241214434493,0.7830963906767344,0.12253458370807557,0.9608546231779805,0.1775432827527227,0.7942762759768393,0.8537527206476645,0.7496847730155053,0.814648586136089
cox_full,implant_time,5.0,1428,82,0.8137933533867286,0.7840411512137058,0.04978766665601725,1.2088133016244946,0.5422901395896069,0.7673878207352801,0.8621720060600755,0.7361992031361931,0.8346536634428695
cox_full,implant_time,8.0,1221,164,0.8086335002422872,0.7620456921955702,0.09787648603542076,1.1682348350300016,0.5628091917907002,0.7746737642361576,0.8453526045217364,0.7257413931790148,0.797719977773036
cox_full,implant_time,10.0,1103,221,0.8102676968223187,0.7503250904243113,0.1263218964810961,1.0747135089814877,0.2941426851482588,0.7813477731398328,0.8433490993832382,0.7161903679920992,0.7851047689919424
cox_b4,implant_time,5.0,1428,82,0.7560250788243396,0.722739446499171,0.051689756671568575,1.0511316550828353,0.16215815947082282,0.7080001342082032,0.8100056044962436,0.6699038542350237,0.7803176155339706
cox_b4,implant_time,8.0,1221,164,0.7562590857696657,0.7048132070090941,0.10502052951970277,0.9914954596171747,0.24980848569993597,0.7174853410734474,0.7948196720962928,0.66831132729203,0.7450776271616605
cox_b4,implant_time,10.0,1103,221,0.7711238341490443,0.6988733841093615,0.1355906985013358,0.9774024031162196,0.17649797719340535,0.7363199397985244,0.8062181281222616,0.6649213523276266,0.7372754901865797
