n_valves,rep,AUC_5y,ci_width,n_test_cases
500,0,0.8410687233163475,0.12781439836819175,106
500,1,0.9067154915590863,0.11158933927617642,76
500,2,0.9350976685570258,0.05964186972516394,92
500,3,0.8832698547044716,0.14715345942322333,68
500,4,0.8867541152263375,0.13345936742495312,90
500,5,0.8890797698389701,0.09548441741513203,119
500,6,0.8964860525038276,0.09113063165941337,61
500,7,0.91228,0.06213282284783228,125
500,8,0.9340704340704341,0.059284449246261195,108
500,9,0.9340691883160587,0.06686592245511291,85
1000,0,0.937692716640085,0.04032395640490816,190
1000,1,0.9267671691792294,0.04244894563224588,199
1000,2,0.9216535542908159,0.055216257596303,174
1000,3,0.9293762575452716,0.04244713942510425,210
1000,4,0.9280495759947814,0.041913750349622414,175
1000,5,0.931895702988535,0.057853199547588496,185
1000,6,0.9278641505998042,0.049876107081871845,223
1000,7,0.9304951724916719,0.04152257361692935,199
1000,8,0.9019469326626918,0.07104902334772667,215
1000,9,0.9062238560020281,0.05573806531604719,196
2000,0,0.9296126877125402,0.033832421318188755,404
2000,1,0.9247859162078104,0.037649557562385194,402
2000,2,0.9394323548537535,0.03139280013939383,364
2000,3,0.9302436346370704,0.03324391410072591,406
2000,4,0.9344192113785514,0.036055639726159217,351
2000,5,0.936919882231699,0.031202261146594412,349
2000,6,0.9330349178546523,0.034724265742452576,306
2000,7,0.9315419258395935,0.03553912385441338,386
2000,8,0.9221313752287709,0.033280052130583826,373
2000,9,0.936111111111111,0.03166935047395625,405
5000,0,0.9309213847650951,0.020971371314833065,894
5000,1,0.9274035033725732,0.02474221550185496,951
5000,2,0.927649499043845,0.021719443050230325,999
5000,3,0.9292774798295141,0.022407231813616035,949
5000,4,0.9235975609756097,0.029737422424869764,884
5000,5,0.9433223394067367,0.019277768485957636,949
5000,6,0.9386320309736254,0.02142556991279254,988
5000,7,0.9281126572660225,0.02198103627253889,970
5000,8,0.9356492221421934,0.018179022037194348,927
5000,9,0.933289263783571,0.018285689987398324,938
