feature,auc_drop
valve_model,0.0446717842902216
landmark_t,0.02821457485064891
approach,0.026584170027313968
stage_now_full,0.01275858789042863
delta_mpg,0.01095659279547847
age_at_implant,0.005734898164551527
stage_now_haemo,0.003842865465660883
smoking,0.0037413164513726118
bmi,0.0023805380422387223
vmax_now,0.002050814499837328
rel_dvi,0.0012134539743549721
ar_now,0.001018948970404332
slope_since_ref,0.0007988270251164664
prior_positive_count,0.0007046820634933004
ref_eoa,0.0005555201265930787
ref_mpg,0.00043575822363268736
max_mpg_sofar,0.00037501256527185947
eoa_residual,0.0003063224124457475
is_new_model,0.0003048632195848056
bsa,0.00022655320271216527
ref_eoai,0.00019758552221267324
lvef_now,0.00014840531837969628
symptom_now,0.00013770457073252195
svi_now,0.00011057439235433453
ewma_log_mpg,7.77155308921751e-05
eoa_now,6.890632954625886e-05
slope_last2,5.5665505437429984e-05
n_echoes,2.6914001658129295e-05
reference_from_table,2.2590467255234615e-05
ref_mpg_flow_corrected,2.0807009313994484e-05
any_symptom_before,1.751031433174788e-05
time_since_last,7.512141025012298e-06
expected_eoa,4.107357682747725e-06
dialysis,1.94559048132259e-06
ppm_class_ref,8.106627005233236e-07
stage_now_unevaluable,0.0
valve_class,0.0
dvi_missing_now,0.0
unconfirmed_flag,0.0
transient_spike,0.0
eoa_missing_now,0.0
af,-4.1073576827699295e-06
diabetes,-1.1133101087490438e-05
implant_year,-1.237611722830767e-05
consecutive_worsening,-4.1397841907730994e-05
ref_ar,-4.842358531254032e-05
label_size_mm,-4.90180712929833e-05
dvi_now,-5.9556686399986346e-05
mpg_now,-7.890450285308326e-05
ref_dvi,-0.00013030051806748322
anticoag_type,-0.0001318137551084675
rel_eoa,-0.0002079620047795716
female,-0.00022255393338950215
ckd,-0.00024973815594768743
p_true_mpg_ge20,-0.00034096473184894725
