policy,echoes_per_patient_decade,mean_followup_y,latent_stage2_within_followup,detected_confirmed,detection_rate,confirmed_delay_mean_y,confirmed_delay_p90_y,confirmed_delay_median_y,first_flag_delay_mean_y,stage3_cases,stage3_seen_while_stage2_share,reinterventions,urgent_share,false_positive_reinterventions,deaths_per_10k_illustrative,tau,echo_reduction_vs_guideline_pct,extra_delay_mean_months,extra_delay_p90_months,passes_section0,echo_reduction_vs_guideline_confirm_pct,extra_delay_vs_confirm_mean_months,extra_delay_vs_confirm_p90_months,passes_section0_vs_confirm
guideline,8.06292878302409,7.180517347728014,2668,1710,0.6409295352323839,1.521915038719418,2.873333333333332,1.2899999999999991,0.7481728259467227,1546,0.8111254851228978,1353,0.3939393939393939,25,131.938,,0.0,0.0,0.0,False,4.248785552430556,4.704767925953761,8.336811397733737,False
guideline_confirm,8.420706546170349,7.167332060449058,2667,1942,0.7281589801274841,1.129851044889938,2.178599050188854,0.892582580117427,0.7268633332424859,1513,0.8116325181758096,1394,0.3787661406025825,25,131.452,,-4.4373176642652945,-4.704767925953761,-8.336811397733737,False,0.0,0.0,0.0,False
deescalation,7.61537237590134,7.169445866202687,2666,1873,0.7025506376594148,1.1743390299971803,2.25,0.9317262311969681,0.7972559452954632,1525,0.7724590163934426,1398,0.382689556509299,27,132.992,,5.550792015738093,-4.1709121046668525,-7.479999999999986,False,9.563736318958494,0.5338558212869087,0.8568113977337504,False
oracle,2.0642958716115505,7.174843588887953,2678,1978,0.7386109036594474,0.9348975703251633,1.8875643460100302,0.6109227774695276,0.6094843971145271,1515,0.8191419141914191,1366,0.37774524158125916,2,128.516,,74.39769186653645,-7.044209620731056,-11.829227847879624,True,75.4854790355998,-2.3394416947772956,-3.492416450145887,True
time_only,5.196322770044159,7.173149484646666,2666,1809,0.6785446361590398,1.276631017479363,2.444878792504566,1.0317721939798634,0.8864240851639468,1532,0.7330287206266318,1398,0.3719599427753934,25,129.812,0.05,35.55291247288902,-2.9434082548806613,-5.141454489945193,True,38.29113101670318,1.7613596710730999,3.1953569077885433,False
risk_adapted_tau0.005,5.352816460116387,7.1668812644410895,2667,1874,0.7026621672290965,1.1999224311959005,2.2787795373824653,0.9641239257765524,0.7790840928775772,1513,0.7944481163251818,1400,0.37357142857142855,27,130.476,0.005,33.61200868614451,-3.8639112902822106,-7.134645551410403,True,36.43269206963645,0.8408566356715506,1.202165846323334,True
risk_adapted_tau0.01,4.741505553061272,7.168820033977243,2668,1848,0.6926536731634183,1.1851344823796404,2.3299131833642943,0.9701492398231448,0.8009726850377364,1536,0.783203125,1383,0.3759942154736081,25,129.602,0.01,41.193756255863654,-4.041366676077332,-6.521041799628454,True,43.692307443991616,0.6634012498764292,1.8157695981052822,True
risk_adapted_tau0.02,4.383923017566521,7.1682371871219015,2667,1793,0.6722909636295463,1.2536942956472243,2.371552335501618,1.0399999999999991,0.8563305473923614,1530,0.7620915032679738,1384,0.37716763005780346,24,130.04000000000002,0.02,45.628652620663686,-3.218648916866324,-6.021371973980571,True,47.93877457277876,1.486119009087437,2.3154394237531655,True
risk_adapted_tau0.03,4.266979305716526,7.167599795721117,2667,1791,0.6715410573678291,1.2685241560351477,2.413323994733214,1.0636154406351772,0.8853894161649521,1523,0.747209455022981,1385,0.3689530685920578,24,127.72200000000001,0.03,47.079040128689456,-3.040690592211244,-5.520112063201417,True,49.32753822590927,1.664077333742517,2.81669933453232,True
risk_adapted_tau0.05,4.191268390708768,7.1663270399442816,2664,1776,0.6666666666666666,1.2971782484474315,2.443679060485045,1.0904568561017056,0.9168240733499622,1523,0.7360472751149048,1403,0.3741981468282252,27,130.942,0.05,48.01804029903899,-2.6968414832638388,-5.155851274179447,True,50.226642292683685,2.0079264426899224,3.1809601235542893,False
risk_adapted_tau0.075,4.17628141519089,7.167141536756777,2665,1778,0.6671669793621013,1.3064830663247293,2.453336317484409,1.098604756968269,0.9304325959247468,1526,0.7306684141546527,1400,0.37285714285714283,25,130.264,0.075,48.20391538142136,-2.5851836687362644,-5.039964190187076,True,50.404619941420236,2.1195842572174968,3.2968472075466604,False
risk_adapted_tau0.1,4.171457362959735,7.167279297992573,2665,1777,0.6667917448405253,1.308279943545077,2.4543472883792465,1.0977590312832013,0.9332978863928163,1526,0.7300131061598951,1401,0.3718772305496074,25,130.066,0.1,48.26374540548547,-2.563621142092093,-5.027832539449028,True,50.46190791606588,2.141146783861668,3.308978858284709,False
risk_adapted_tau0.15,4.169154562211457,7.167400381565515,2666,1777,0.6665416354088521,1.3084126000221736,2.4543472883792465,1.099450482653337,0.9329334998968782,1526,0.7300131061598951,1400,0.37214285714285716,23,130.05200000000002,0.15,48.29230575632383,-2.5620292643669327,-5.027832539449028,True,50.489254798844094,2.1427386615868285,3.308978858284709,False
