feature,mean_abs_shap
approach,0.4592103892823653
valve_model,0.337366968789829
period,0.25744711637871565
delta_mpg,0.1945855235615005
landmark_t,0.18535420262284258
age_at_implant,0.1437934414282646
vmax_now,0.13976449579368277
stage_now_haemo,0.12540330315053352
max_mpg_sofar,0.1072265348007769
stage_now_full,0.1059477590044953
mpg_now,0.06286131878195271
slope_since_ref,0.05549365728238045
smoking,0.05491529622186047
rel_dvi,0.05109309703032891
bmi,0.03753215245188797
implant_year,0.030546523391967565
ar_now,0.023883802921963484
p_true_mpg_ge20,0.022701838483812818
eoa_residual,0.01775687107933707
ewma_log_mpg,0.01569737020931757
rel_eoa,0.01481742159894304
diabetes,0.013748536281170908
bsa,0.01277656179867864
prior_positive_count,0.012192715899140122
ref_mpg_flow_corrected,0.010383924806383333
expected_eoa,0.010257149015578816
svi_now,0.010236087611471288
ref_eoai,0.009580134172445525
ref_eoa,0.009453174793606856
ckd,0.00941011520965115
ref_mpg,0.008114112673138664
dvi_now,0.007619958134409107
ref_dvi,0.006362623286579389
lvef_now,0.004683759481608164
female,0.004240862035208205
anticoag_type,0.00359004079990336
consecutive_worsening,0.002571349749200278
symptom_now,0.002522480486113656
label_size_mm,0.0022900755936284445
slope_last2,0.0022595481091812965
eoa_now,0.0022269244692212325
time_since_last,0.0016559744905863937
ppm_class_ref,0.0013750473596885228
af,0.0007143245010870662
dialysis,0.0006404055279373952
is_new_model,0.0006114929968631676
ref_ar,0.00033828881151881895
any_symptom_before,0.00019217396373685968
reference_from_table,0.0
valve_class,0.0
n_echoes,0.0
unconfirmed_flag,0.0
transient_spike,0.0
eoa_missing_now,0.0
dvi_missing_now,0.0
stage_now_unevaluable,0.0
