factor,level,n_instances,n_cases,AUC,C_trunc,calib_slope
approach,SAVR,3762,799,0.9075917496402119,0.9037413046728706,0.9641691071400124
approach,TAVR,2489,157,0.9228183979570872,0.9279511177646861,0.9892704064428939
valve_class,perimount,2179,342,0.9406212900672735,0.9303816874140393,1.1775099515323004
valve_class,new_savr,218,33,0.9233766233766234,0.9164874551971326,1.200347651201178
valve_class,trifecta,942,259,0.8424361586579246,0.8545795318313062,0.8852209565636091
valve_class,self_expanding,1052,100,0.8867397660818713,0.89754300738032,0.9125425243192311
valve_class,balloon,1326,48,0.9687499999999999,0.9711440992949338,1.059112784101147
valve_class,porcine,423,165,0.7786176370446032,0.8286617262423714,0.5268799031361842
age_band,60-80,4555,689,0.9173228346456694,0.9146351028343246,0.9363612427754777
age_band,>80,1147,76,0.9358613322975334,0.9381282326534596,1.0534324674388185
age_band,<60,549,191,0.9094280501348565,0.8932681429853192,0.9615949064547921
size,25,555,98,0.8891581632653061,0.8922207113719316,0.7685326448489708
size,21,1299,281,0.9189560439560441,0.9103740061297917,1.1264136629411488
size,23,1512,264,0.932295234367355,0.9207565155523627,1.1019864148783727
size,29,796,59,0.9125195335977883,0.9184132409822794,0.8194139240123544
size,19,686,150,0.9004786324786325,0.9069066708588797,0.8296749637880069
size,27,235,46,0.9299353701527615,0.9148936170212766,1.1043026440317212
size,26,986,48,0.9380864197530864,0.9404292474087427,1.1689519732510352
sex,F,2683,412,0.9320373919166965,0.9283615616486499,0.9904818641124488
sex,M,3568,544,0.9192209375755784,0.9122979399326333,0.9387016618135469
reference_source,30d_echo,4325,636,0.9331682009582593,0.9294771034818029,0.9638627796226393
reference_source,model_size_table,1926,320,0.9106498099662164,0.8999390908649538,0.9731162426145555
